"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow","D","Dup","Dlow","G","Gup","Glow"
"149",100,1.35578795706222,1.43557287767428,0.013,14,14.8,2e-04,1.32894155679766,1.39061134375800,1.26727176983733,0.739997354103983,0.755628638090238,0.724366070117727,0.158895319212071,0.155785444010126,0.162005194414017
"150",100,1.43223012218689,1.47146942360378,0.013,14,14.9,2e-04,1.40387006563757,1.46708190760222,1.34065822367291,0.75669155399073,0.771960603524755,0.741422504456705,0.162075321332622,0.158450399075188,0.165700243590061
"151",100,1.51018350453587,1.50666063217880,0.013,14,15,2e-04,1.48027986759581,1.54500346446295,1.41555627072867,0.772412418370507,0.787318717905275,0.757506118835739,0.154726657862825,0.151019475701847,0.158433840023814
"152",100,1.58983335904187,1.54086833147536,0.013,14,15.1,2e-04,1.55835254931167,1.62454565118327,1.49215944744006,0.787636885563295,0.802164498665124,0.773109272461467,0.147122035857494,0.143376106872306,0.150867964842683
"153",100,1.67089314575711,1.57429649853828,0.013,14,15.2,2e-04,1.63780724470847,1.70543636419597,1.57017812522097,0.801836825542006,0.815993939279737,0.787679711804276,0.152999103666263,0.148584623681269,0.157413583651250
"154",100,1.75344035982202,1.60677927266642,0.013,14,15.3,2e-04,1.71871991442007,1.78774443903922,1.64969538980092,0.818236706296548,0.831881423401378,0.804591989191717,0.161804325762466,0.15660616129764,0.167002490227286
"155",100,1.83784638260167,1.6378218867866,0.013,14,15.4,2e-04,1.80145458596778,1.87181264887625,1.73109652305931,0.8341976906945,0.847315171539265,0.821080209849733,0.148631402052479,0.143703839451953,0.153558964653
"156",100,1.92365028020078,1.66785001946913,0.013,14,15.5,2e-04,1.88555945255897,1.95720747334707,1.81391143177086,0.847962986707044,0.860622191291769,0.835303782122317,0.135937300509958,0.131260431695907,0.140614169324016
"157",100,2.01086497766800,1.69675904759259,0.013,14,15.6,2e-04,1.97104718330919,2.0439370871346,1.89815727948377,0.861385150796491,0.873567257878446,0.849203043714536,0.135609345665094,0.130585034711062,0.140633656619127
"158",100,2.09940753722512,1.72456596866165,0.013,14,15.7,2e-04,2.05783648271827,2.13192092492276,1.98375204051377,0.875084855840063,0.886739198233981,0.863430513446143,0.135673942663223,0.130293470131876,0.141054415194575
"159",100,2.18941752618103,1.75101789514983,0.013,14,15.8,2e-04,2.1460641544772,2.22128492678140,2.07084338217300,0.888519939329135,0.899625951904821,0.87741392675345,0.124533346070088,0.119418359356482,0.129648332783699
"160",100,2.28070138377394,1.77627196999101,0.013,14,15.9,2e-04,2.23554047058409,2.31184611530373,2.15923482586446,0.89999152505408,0.910622870105278,0.889360180002883,0.106969984167005,0.10250156106274,0.111438407271264
"161",100,2.37305203815561,1.80051399805842,0.013,14,16,2e-04,2.32606245948802,2.40340950080245,2.24871541817358,0.909913936162536,0.92012626411737,0.899701608207704,0.0939282495582616,0.0899055829988171,0.0979509161177172
"162",100,2.46636046717034,1.82381726486710,0.013,14,16.1,2e-04,2.4175232578166,2.4958713681272,2.339175147506,0.918777174965733,0.928603986705041,0.908950363226426,0.0839661669142178,0.0802619367173407,0.0876703971110948
"163",100,2.56051957917281,1.84626445416437,0.013,14,16.2,2e-04,2.50981789448116,2.58913029814346,2.43050549081886,0.92670716954538,0.936178651460837,0.917235687629923,0.0722427570216122,0.0690097280059976,0.0754757860372046
"164",100,2.65544604640686,1.8679134202761,0.013,14,16.3,2e-04,2.60286469172568,2.68310709841937,2.52262228503199,0.933225726370055,0.94240593230624,0.924045520433867,0.0626205843466843,0.0597645000343427,0.0654766686590258
"165",100,2.75093520649085,1.88900452285289,0.013,14,16.4,2e-04,2.69646303975517,2.77761148460471,2.61531459490564,0.939231286414717,0.948131551467706,0.930331021361728,0.0615785558226167,0.0585883097438122,0.0645688019014434
"166",100,2.84708704980593,1.90935017478412,0.013,14,16.5,2e-04,2.79071094900862,2.87273340871291,2.70868848930433,0.945541437534578,0.954123594255003,0.936959280814156,0.0639036799915393,0.0605695435130005,0.0672378164700782
"167",100,2.94386373481557,1.92896026788478,0.013,14,16.6,2e-04,2.88557132726209,2.96843620345571,2.80270645106847,0.952012022413025,0.960245460170306,0.943778584655743,0.0612823862370382,0.0579374489495632,0.0646273235245132
"168",100,3.04133583800340,1.94768239714764,0.013,14,16.7,2e-04,2.98111335349122,3.06478250074697,2.89744420623548,0.957797914781986,0.965711084044916,0.949884745519058,0.0482972109307589,0.0456722630686524,0.0509221587928654
"169",100,3.13929307804265,1.9658014237578,0.013,14,16.8,2e-04,3.07713091021849,3.16157842026469,2.99268340017228,0.961671464599176,0.969379912784036,0.953963016414316,0.0370411088895239,0.0350452931129897,0.0390369246660249
"170",100,3.23755554137332,1.98357043791632,0.013,14,16.9,2e-04,3.17344764641106,3.25865848330378,3.08823680951834,0.96520613655989,0.972720142667514,0.957692130452263,0.0344595084900590,0.0325300498267844,0.0363889671533446
"171",100,3.33623399682674,2.00078420512437,0.013,14,17,2e-04,3.27017213753046,3.35612244879820,3.18422182626273,0.968563366297188,0.975885922749393,0.961240809844985,0.0306879009546290,0.0289312056165669,0.0324445962927244
"172",100,3.43518147021276,2.01766189162860,0.013,14,17.1,2e-04,3.3671603196705,3.45383566785366,3.28048497148734,0.971343716750817,0.978506383790827,0.964181049710808,0.0270241119932124,0.0254404269536046,0.0286077970327980
"173",100,3.53442722911789,2.03413126546387,0.013,14,17.2,2e-04,3.46444088088063,3.55182372555636,3.37705803620490,0.97396818869583,0.980974008140114,0.966962369251545,0.0262325116987649,0.0246211664350460,0.0278438569624728
"174",100,3.63391020046295,2.05027872030864,0.013,14,17.3,2e-04,3.56195395740966,3.65003046948168,3.47387744533765,0.97659021909057,0.983430617077836,0.969749821103303,0.0246808859714953,0.0231109915311500,0.0262507804118406
"175",100,3.73369095915254,2.06597794536026,0.013,14,17.4,2e-04,3.65975892469874,3.74850984897193,3.57100800042556,0.97890436589013,0.985596206446344,0.972212525333913,0.0206209748149555,0.0192993239079398,0.0219426257219490
"176",100,3.83364610963078,2.0814337648701,0.013,14,17.5,2e-04,3.75773483058769,3.84714971077095,3.66831995040443,0.98071441405356,0.987290481859424,0.974138346247693,0.0174207173252450,0.0162910725974519,0.0185503620530825
"177",100,3.93379619103274,2.09659398945303,0.013,14,17.6,2e-04,3.85590180750945,3.94596794534381,3.76583566967509,0.982388509355179,0.988854420965835,0.97592259774453,0.0129810643147654,0.0121690474254588,0.0137930812040943
"178",100,4.03409292436498,2.11153695735774,0.013,14,17.7,2e-04,3.95421253245873,4.04492059496411,3.86350446995334,0.983310626916514,0.989724291344516,0.976896962488512,0.00944406070976234,0.00888234576292835,0.0100057756565408
"179",100,4.13443115488129,2.12645393596222,0.013,14,17.8,2e-04,4.05256393289276,4.14391280361272,3.9612150621728,0.984277321497131,0.99063089011842,0.977923752875838,0.0098490170273191,0.00922095557293057,0.0104770784817076
"180",100,4.23492513283485,2.14111711723419,0.013,14,17.9,2e-04,4.15106799675815,4.2430467729878,4.05908922052851,0.985280430321978,0.991568482459102,0.978992378184853,0.00713277411686919,0.00671544520571832,0.00755010302802006
"181",100,4.33546803794461,2.15572907228549,0.013,14,18,2e-04,4.24962001895715,4.34222650010454,4.15701353780977,0.985703876320505,0.991973979159564,0.979433773481442,0.0053911707611265,0.00509833598056897,0.00568400554170623
"182",100,4.4360484159332,2.17030868743298,0.013,14,18.1,2e-04,4.34820877202225,4.44144156881971,4.25497597522479,0.986358664474203,0.992588149655216,0.980129179293194,0.00820960460425901,0.00764257779959365,0.00877663140894658
"183",100,4.53672492419333,2.18473153980980,0.013,14,18.2,2e-04,4.44689175185199,4.54074413003558,4.35303937366841,0.987345797241357,0.993502494719483,0.981189099763231,0.0107457968447244,0.00992163040216543,0.0115699632872834
